critic,fresh,imdb,publication,quote,review_date,rtid,title
Owen Gleiberman,1,114709,Entertainment Weekly,,9/7/11,9559,Toy story
Derek Adams,1,114709,Time Out,"So ingenious in concept, design and execution that you could watch it on a postage stamp-sized screen and still be engulfed by its charm.",10/4/09,9559,Toy story
Richard Corliss,1,114709,TIME Magazine,The year's most inventive comedy.,8/31/08,9559,Toy story
David Ansen,1,114709,Newsweek,A winning animated feature that has something for everyone on the age spectrum.,8/18/08,9559,Toy story
Leonard Klady,1,114709,Variety,The film sports a provocative and appealing story that's every bit the equal of this technical achievement.,6/9/08,9559,Toy story
Jonathan Rosenbaum,1,114709,Chicago Reader,"An entertaining computer-generated, hyperrealist animation feature (1995) that's also in effect a toy catalog.",3/10/08,9559,Toy story
Michael Booth,1,114709,Denver Post,"As Lion King did before it, Toy Story revived the art of American children's animation, and ushered in a set of smart movies that entertained children and their parents. It's a landmark movie, and doesn't get old with frequent repetition.",5/3/07,9559,Toy story
Geoff Andrew,1,114709,Time Out,"The film will probably be more fully appreciated by adults, who'll love the snappy, knowing verbal gags, the vivid, deftly defined characters, and the overall conceptual sophistication.",6/24/06,9559,Toy story
Janet Maslin,1,114709,New York Times,Children will enjoy a new take on the irresistible idea of toys coming to life. Adults will marvel at a witty script and utterly brilliant anthropomorphism.,5/20/03,9559,Toy story
Kenneth Turan,1,114709,Los Angeles Times,"Although its computer-generated imagery is impressive, the major surprise of this bright foray into a new kind of animation is how much cleverness has been invested in story and dialogue.",2/13/01,9559,Toy story
Susan Wloszczyna,1,114709,USA Today,"How perfect that two of the most popular funny guys around, Tom Hanks and Tim Allen, speak for the lead boy-toys.",1/1/00,9559,Toy story
Roger Ebert,1,114709,Chicago Sun-Times,The result is a visionary roller-coaster ride of a movie.,1/1/00,9559,Toy story
John Hartl,1,114709,Film.com,"Disney's witty, wondrously imaginative, all-computer-generated cartoon is far and away the best of the new holiday movies in town.",1/1/00,9559,Toy story
Susan Stark,1,114709,Detroit News,Disney's first computer-made animated feature is a 3-D eye popper.,1/1/00,9559,Toy story
Peter Stack,1,114709,San Francisco Chronicle,"The script, by Lasseter, Pete Docter, Andrew Stanton and Joe Ranft, is filled with clever gags that keep the two heroes at each other's throats and the plot on fast- forward.",1/1/00,9559,Toy story
James Berardinelli,1,114709,ReelViews,The one big negative about Toy Story involves Disney's overcommercialization.,1/1/00,9559,Toy story
Sean Means,1,114709,Film.com,"Technically, Toy Story is nearly flawless.",1/1/00,9559,Toy story
